id,created_at,full_text
1.23818E+18,Thu Mar 12 18:53:48 +0000 2020,when you had no one . I was there . But as soon as you get new friends its fuck me right . # SocialDistancing # lockdown # checkitout # FoloMe # folobackforfoloback # CoronavirusPandemic # COVD19 # sad # relationships # relatable
1.23818E+18,Thu Mar 12 18:53:14 +0000 2020,I am so sad that I ca n't come see you tonight ! I will miss you # Sad # misyou
1.23818E+18,Thu Mar 12 18:51:34 +0000 2020,oh shit ... here we go armys ... . time to prepare to get # SAD ! but also be # GRATEFUL that we ( and them & amp ; their staf/stage crew ) won ’ t be put at # RISK
1.23818E+18,Thu Mar 12 18:50:07 +0000 2020,Is it just a mild case of feeling blue or something more serious ? # modisorders # depression # clinicaldepresion # moody # winterblues # sad
1.23818E+18,Thu Mar 12 18:49:09 +0000 2020,- Home is where puppy 's heart is # Sad
1.2382E+18,Thu Mar 12 20:25:36 +0000 2020,# crying not crying 😭🥺
1.2382E+18,Thu Mar 12 20:23:48 +0000 2020,just finished # crying over this
1.23819E+18,Thu Mar 12 20:06:13 +0000 2020,I was supposed to walk the stage Saturday for my degree lmao ... it just got canceled bc of this frkn virus 🥺😭 # crying
1.23819E+18,Thu Mar 12 19:55:18 +0000 2020,# crying in the # rare # books # library
1.23818E+18,Thu Mar 12 19:23:07 +0000 2020,On a lighter note away from # CoronaOutbreak have a close listen at the end of this video what can you hear😂💨 # FuniestTwets # kids # crying # lfart # FamiliesFirst # familytime # funtimes # funyvideo # Video
1.23818E+18,Thu Mar 12 18:50:28 +0000 2020,# NationalPlantAFlowerDay🌷 Remember # WolfChildren ? I 'm # crying just thinking about it.😭 ( via Giphy )
1.23817E+18,Thu Mar 12 18:19:21 +0000 2020,Please ? ! This depression hit hard and without warning . # WritingInTheFetalPosition # Crying
1.23817E+18,Thu Mar 12 18:17:10 +0000 2020,[ REACTION ] Ava Max - Kings & amp ; Queens [ Official Visualizer ] # AvaMax # Crying # kingsandquens
1.23817E+18,Thu Mar 12 18:13:11 +0000 2020,"Toddlers stop # crying by seeing , hearing and # learning Test with your kids : # Animal Sound Book"
1.23817E+18,Thu Mar 12 18:11:14 +0000 2020,I ’ m not # crying you are 😭
1.23816E+18,Thu Mar 12 18:02:57 +0000 2020,MY HEART IS BROKEN # dontalktome # crying
1.23816E+18,Thu Mar 12 18:00:31 +0000 2020,Does anyone know how many # calories you burn by sliding down a wall # crying ?
1.23816E+18,Thu Mar 12 17:58:29 +0000 2020,the # crying sent me
1.23816E+18,Thu Mar 12 17:50:49 +0000 2020,Still can ’ t get over the fact I have my two favs on my arms😂🖤 I ’ m actually thinking of getting the X to🥺 literally love…
1.23815E+18,Thu Mar 12 17:27:40 +0000 2020,. # Football # SuperBowl I can ’ t stop # crying as my # heart is filled with # joy that # KansasCityChie…
1.23815E+18,Thu Mar 12 16:56:42 +0000 2020,"Just because she ’ s smiling all day , doesn ’ t mean she ’ s not crying herself to sleep every night . …"
1.23814E+18,Thu Mar 12 16:38:53 +0000 2020,"Leaving your # baby to ‘ cry it out ’ has no adverse effects on # child development Not good general information , as it must surely depend upon why the # infant is # crying ."
1.23814E+18,Thu Mar 12 16:12:11 +0000 2020,"Daddy only just put £290 in my account I USED TO GET £10,0 why is he so mean I ’ ve had enough of his rubbish I ’ m no longer giving you foot massages # no # crying"
1.23813E+18,Thu Mar 12 15:59:30 +0000 2020,It 's time to moveon♥️ # sad # fun # love # couplegoals # breakup # BreakingNews # breakupquotes # crying # cry # tears # smile # silence # heart # heartbreak
1.23813E+18,Thu Mar 12 15:46:50 +0000 2020,I wonder how many times I 've been the `` What the heck was this sysadmin thinking '' or to the end user `` Why did the last person do it this way . That is not how it is done '' . I know I 've said it a lot about `` the other person '' lol . # sysadmin # techsucks # whydowedothis # crying
1.23812E+18,Thu Mar 12 15:25:31 +0000 2020,"# disneyplus , # billing should # easy and # simple yet it 's not , # whose in # charge , # donaldjputin ? # train # your # employees # for # crying # out # loud . # disney # hulu # hollywood # consumers # wpost # nytimes"
1.23812E+18,Thu Mar 12 15:15:57 +0000 2020,"Today I saw a woman drop her bagel on the ground then proceed to scream , drop to her knees , and start crying ... I relate # nyc # bagels # crying"
1.23812E+18,Thu Mar 12 15:10:38 +0000 2020,LONA 1ST WIN HELLO EXACTLY ONG THEY DESERVED THAT LITERALLY SO HAPPY FOR THEM WTF # Crying
1.2381E+18,Thu Mar 12 14:02:07 +0000 2020,"This tweet hit the the market top on the head . This is when I was balls deep in put options on SPY b/c of Corona ... IF I still owned all these options - I would have made a million dollars ! ! ! 😫😫😫🤯🤯🤬🤬 - They ’ re up 2,20 % # Crying 😰😰"
1.2381E+18,Thu Mar 12 13:32:13 +0000 2020,"Facebok haiku for March 11 , fashioned from friends ' statuses . 💙 sad old jaded eyes… the whole world needs therapy it 's just…"
1.23809E+18,Thu Mar 12 13:06:05 +0000 2020,# crying i love her
1.23809E+18,Thu Mar 12 12:57:59 +0000 2020,I am grounded . # sad # crying
1.23809E+18,Thu Mar 12 12:53:35 +0000 2020,One of my cats died last night 😢😢RIP my buddy # Crying
1.23806E+18,Thu Mar 12 11:12:00 +0000 2020,"The ONE thing , the ONLY thing that # democrats had left to USE with , and PLAY with was the word # RACISM . Thanks to their # DRAMA and # CRYING and # WHINING and OVERUSE of the # RACECARD ... Word Racism is now # DIMINISHED ! Racism is the new # CANDY 🍬"
1.23805E+18,Thu Mar 12 10:14:36 +0000 2020,This bitch jus popped open an icehouse at 6 in the morning 😂😂😂 # crying
1.23804E+18,Thu Mar 12 09:47:08 +0000 2020,stop i ’ l cry the way i ’ ve been w troye sivan since his youtube days & amp ; now he ’ s out here working w bts ... # # crying
1.238E+18,Thu Mar 12 07:32:36 +0000 2020,"# nba season suspended # coronavirus # sucks # crying Now what am I gon na do staying home all these days ? @ Sacramento , California"
1.238E+18,Thu Mar 12 07:26:31 +0000 2020,“ Everyday that raven comes to visit… and that ’ s where we ’ l end the campaign. ” # CriticalRole # CriticalRoleSpoilers # Inktober…
1.238E+18,Thu Mar 12 07:22:30 +0000 2020,I ’ m absolutely guted.. # lfc # crying
1.23798E+18,Thu Mar 12 05:38:15 +0000 2020,These captions be having me # crying
1.23797E+18,Thu Mar 12 05:18:48 +0000 2020,Literally crying over the fact that I ’ m supposed to leave for a trip to France that I ’ ve had planned for almost a year on Monday and enacted a 30 day travel ban to Europe . # kilme # crying # TravelBan # CoronavirusPandemic # CoronaOutbreak
1.23796E+18,Thu Mar 12 04:50:55 +0000 2020,# lying # crying Chuck
1.23795E+18,Thu Mar 12 04:10:04 +0000 2020,I actually wan na cry 😭😭 I was in such a panic to buy the signed CD after work at 1:30pm that I ended up or…
1.23795E+18,Thu Mar 12 03:38:23 +0000 2020,@ _ : Live it well [ # life # hurt # hurts # stronger # strong # quote # sad # hurting # live # bepositive # positive # animeguy # animeboy # oc…
1.23795E+18,Thu Mar 12 03:38:02 +0000 2020,Live it well [ # life # hurt # hurts # stronger # strong # quote # sad # hurting # live # bepositive # positive # animeguy # animeboy # oc # cry # crying # art # artwork # doodle # doodles # draw # clauriusarts # drawing # drew # motivationalquotes # motivation # motivational # motivate # sketch # sketchbook ]
1.23794E+18,Thu Mar 12 03:29:44 +0000 2020,Louis crew just confirmed Harry and Louis drinking tea😳👉🏼👈🏼💀💙💚 # LaryStylinson # lary # HaryStyles # LouisTomlinson # crying…
1.23794E+18,Thu Mar 12 03:25:44 +0000 2020,Checking the account and # CRYING in silence so that nobody hear you .. # these
1.23794E+18,Thu Mar 12 03:21:05 +0000 2020,You ever taste a certain food and it just brings back memories ? Currently eating Chocolate Ice cream exactlyhow my grandpa used to make his and trying not to cry in it . 😭 # Crying # IMisYou
1.23794E+18,Thu Mar 12 03:18:06 +0000 2020,I am so so so incredibly sad to not be sharing the skies with you guys next week . But they cancelled my conference ... I will be flying again soon . Thanks for being so great with it . You guys all be safe also ! # crying # iloveflying # luvSouthWest💙❤️💛
1.23794E+18,Thu Mar 12 03:10:40 +0000 2020,"I ’ m crushed . I understand , but I ’ m crushed . no longer performing in Oklahoma City tomorrow night . # crying"
1.23794E+18,Thu Mar 12 02:56:51 +0000 2020,everyone using meap moment # crying
1.23793E+18,Thu Mar 12 02:49:09 +0000 2020,"Dad sent an email telling me should he succumb to # covid19 , not 2 worry about heading East to see him ; I need to focus on my family . He is n't even sick . This says a lot about where his mind is , and probably many others near his age . # crying # coronavirus"
1.23793E+18,Thu Mar 12 02:47:17 +0000 2020,"Facebok haiku for March 11 , fashioned from friends ' statuses . 💙 sad old jaded eyes… the whole world needs therapy it 's just tough to find # Facebok # haiku # micropoetry # foundpoetry # poetry # poem # Instagram # video # animation # eyes # world # earth # crying # sad # space # planet"
1.23793E+18,Thu Mar 12 02:37:16 +0000 2020,It ’ s so delayed ! # crying !
1.23793E+18,Thu Mar 12 02:35:19 +0000 2020,"⛽️ + I ’ M DONE ! I ’ M DONE # TELLING YOU FIRST ! I ’ M DONE # HOPING YOU WILL CALL , “ I ’ M DONE # CRYING MYSELF TO SLEEP ! YOU HAVE JUST NOT WORTH IT ANYMORE ”"
1.23792E+18,Thu Mar 12 02:05:08 +0000 2020,A # # crying today
1.23791E+18,Thu Mar 12 01:09:50 +0000 2020,I actually wan na cry 😭😭 I was in such a panic to buy the signed CD after work at 1:30pm that I ended up ordering the regular CD witch I already brought 😭😭 now I am never gon na have a signed CD 😭😭😭 # ILoveMeOutNow # notsigned # crying did anyone order 2 ?
1.23791E+18,Thu Mar 12 01:07:05 +0000 2020,# Crying I do n't have an IPhone . 😣😣 # Help
1.23789E+18,Thu Mar 12 00:14:08 +0000 2020,"One day , I will have no more strength , and my end will be only the beginning of a new life . From which I will find you again..・゜゜・ # depresion # sad # cry # broken # depressed # crying # brokenheart # pain # IMisYou # myangel"
1.23789E+18,Wed Mar 11 23:38:23 +0000 2020,so cute 🥺 # babies # cute # cuteness # viral # crying # scared # love❤️
1.23788E+18,Wed Mar 11 23:22:18 +0000 2020,"When Your # Baby Wo n't Stop # Crying : How to Comfort and Soothe a Crying , Upset , or Colicky Baby"
1.23787E+18,Wed Mar 11 22:55:32 +0000 2020,One statement and the tabloids and the jealous royals would have stop ! But Elizabeth Windsor gave Harry and Meghan the Diana treatment ! F*ck That b*tch . # crying .
1.23787E+18,Wed Mar 11 22:37:42 +0000 2020,# Liverpool # crying incomin in all platforms from all ages ... dirty scum ! ! !
1.23787E+18,Wed Mar 11 22:35:55 +0000 2020,This is when it 's great that they have Liverpool fans commentating 😀 # Crying
1.23786E+18,Wed Mar 11 21:58:28 +0000 2020,"Tomorrow now if God punish her , they say God is impartial . Imagine what ur doing to a blameless little girl . # crying"
1.23785E+18,Wed Mar 11 21:24:19 +0000 2020,Pink Lady # pink # lady # gift # crying # emotional # shopping
1.23785E+18,Wed Mar 11 21:24:05 +0000 2020,Shoutout to best friends who call you just to ask about your day # bestfriendtwet # crying
